Date,SOLUSDT_close,BTCUSDT_close,ETHUSDT_close,SOLUSDT_funding_rate
2020-05-21,,9068.65,198.74,
2020-05-22,,9170.0,207.36,
2020-05-23,,9179.15,206.6,
2020-05-24,,8720.34,199.9,
2020-05-25,,8900.35,204.15,
2020-05-26,,8841.18,200.89,
2020-05-27,,9204.07,208.29,
2020-05-28,,9575.89,220.21,
2020-05-29,,9427.07,220.67,
2020-05-30,,9697.72,243.66,
2020-05-31,,9448.27,231.57,
2020-06-01,,10200.77,248.23,
2020-06-02,,9518.04,237.71,
2020-06-03,,9666.24,244.52,
2020-06-04,,9789.06,243.21,
2020-06-05,,9621.16,240.03,
2020-06-06,,9666.3,241.94,
2020-06-07,,9746.99,244.56,
2020-06-08,,9782.01,246.4,
2020-06-09,,9772.43,243.8,
2020-06-10,,9885.0,247.78,
2020-06-11,,9280.4,230.51,
2020-06-12,,9465.13,237.55,
2020-06-13,,9473.34,238.11,
2020-06-14,,9342.1,231.77,
2020-06-15,,9426.02,230.86,
2020-06-16,,9525.59,235.3,
2020-06-17,,9465.14,233.82,
2020-06-18,,9386.32,231.27,
2020-06-19,,9310.23,229.0,
2020-06-20,,9358.95,228.89,
2020-06-21,,9294.69,228.04,
2020-06-22,,9685.69,243.13,
2020-06-23,,9624.89,243.14,
2020-06-24,,9296.49,234.58,
2020-06-25,,9249.49,232.5,
2020-06-26,,9162.21,229.64,
2020-06-27,,9012.0,220.94,
2020-06-28,,9116.35,224.93,
2020-06-29,,9192.56,227.93,
2020-06-30,,9138.55,225.6,
2020-07-01,,9232.0,230.99,
2020-07-02,,9086.54,226.46,
2020-07-03,,9058.26,224.87,
2020-07-04,,9135.46,229.17,
2020-07-05,,9069.41,227.56,
2020-07-06,,9344.2,241.6,
2020-07-07,,9257.39,239.39,
2020-07-08,,9436.06,246.95,
2020-07-09,,9232.43,241.98,
2020-07-10,,9288.34,241.26,
2020-07-11,,9234.03,239.19,
2020-07-12,,9302.75,242.79,
2020-07-13,,9242.62,239.5,
2020-07-14,,9255.85,240.44,
2020-07-15,,9197.6,238.61,
2020-07-16,,9133.72,233.57,
2020-07-17,,9154.32,232.67,
2020-07-18,,9170.28,235.67,
